structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
"Primary somatosensory area, lower limb, layer 5",2280.0,715.0,2995.0,0.31977300000000003,0.268171,0.5879439999999999,7130.057884812038,2666.2092470848825
"Primary motor area, Layer 5",1113.0,732.0,1845.0,1.3865180000000001,1.2968620000000002,2.68338,802.7302927188828,564.4393929346376
"Primary motor area, Layer 6a",527.0,743.0,1270.0,1.1934049999999998,1.3577780000000002,2.551183,441.59359144632384,547.2175863801003
Gigantocellular reticular nucleus,374.0,645.0,1019.0,1.540767,1.577403,3.11817,242.73624759616476,408.8999450362399
Red nucleus,665.0,48.0,713.0,0.418145,0.400327,0.818472,1590.3574119025698,119.90198013124271
"Primary somatosensory area, lower limb, layer 6a",309.0,235.0,544.0,0.300516,0.272885,0.573401,1028.2314419198979,861.1686241457024
"Primary somatosensory area, trunk, layer 5",369.0,10.0,379.0,0.178874,0.14749199999999998,0.326366,2062.9046144213244,67.80028747321889
"Primary somatosensory area, trunk, layer 6a",256.0,32.0,288.0,0.113212,0.099877,0.213089,2261.244391053952,320.3940847242108
"Secondary motor area, layer 6a",37.0,217.0,254.0,0.91304,1.0564120000000001,1.969452,40.52396390081486,205.41228232924274
Pontine reticular nucleus,93.0,94.0,187.0,1.4256950000000002,1.402958,2.828653,65.23134330975418,67.00129298239862
Hypothalamus,24.0,152.0,176.0,1.2592219999999998,1.264849,2.524071,19.059387463052584,120.17244746210814
crossed tectospinal pathway,129.0,41.0,170.0,0.246069,0.26010700000000003,0.5061760000000001,524.2432000780269,157.627437939002
Midbrain reticular nucleus,50.0,55.0,105.0,2.844001,2.767664,5.611665,17.580865829512717,19.872354447649716
Interstitial nucleus of Cajal,35.0,56.0,91.0,0.032657,0.035375,0.06803200000000001,1071.745720672444,1583.0388692579506
"Retrosplenial area, lateral agranular part, layer 5",86.0,0.0,86.0,0.31505900000000003,0.319398,0.6344569999999999,272.96474628561634,0.0
Nucleus raphe magnus,59.0,26.0,85.0,0.045847000000000006,0.045612,0.091459,1286.8890003707984,570.025431903885
Lateral hypothalamic area,28.0,55.0,83.0,0.8872760000000001,0.8404200000000001,1.727696,31.557260649448423,65.44346874181956
"Secondary motor area, layer 5",9.0,70.0,79.0,1.758598,1.611683,3.370281,5.117713087357088,43.43285869491705
Pons,28.0,49.0,77.0,1.376911,1.417853,2.794764,20.33537389126821,34.55929493396001
"Retrosplenial area, lateral agranular part, layer 6a",14.0,58.0,72.0,0.175948,0.181535,0.357483,79.56896355741469,319.4976175393175
Pontine central gray,9.0,62.0,71.0,0.247182,0.23801,0.485192,36.41041823433745,260.49325658585775
Zona incerta,10.0,60.0,70.0,0.72053,0.694651,1.415181,13.878672643748352,86.37430882558292
Piriform area,67.0,1.0,68.0,5.453458,5.490708000000001,10.944166000000001,12.285782708879394,0.1821258752058933
Olfactory areas,66.0,1.0,67.0,1.245739,1.3377780000000001,2.583517,52.980600270201066,0.7475081814770462
"Paragigantocellular reticular nucleus, lateral part",5.0,62.0,67.0,0.363974,0.339511,0.7034849999999999,13.737244968047168,182.6155853565864
Laterodorsal tegmental nucleus,28.0,34.0,62.0,0.08125399999999999,0.083603,0.16485699999999998,344.59841977010365,406.68397067090893
Intermediate reticular nucleus,31.0,22.0,53.0,2.4136,2.2821290000000003,4.695729,12.843884653629432,9.640121132503902
Magnocellular reticular nucleus,14.0,37.0,51.0,0.204185,0.207489,0.411674,68.56527168988907,178.32270626394651
Pedunculopontine nucleus,8.0,42.0,50.0,0.5222180000000001,0.538928,1.061146,15.319272794120462,77.93248819879464
Anterior olfactory nucleus,33.0,13.0,46.0,1.3917620000000002,1.4988110000000001,2.890573,23.710950579193852,8.673541894208142
"Anterior area, layer 6a",44.0,0.0,44.0,0.10371300000000001,0.09729,0.201003,424.24768351122805,0.0
"Paraventricular hypothalamic nucleus, descending division",3.0,41.0,44.0,0.08616399999999999,0.093248,0.179412,34.817325100970244,439.68771448181195
"Pontine reticular nucleus, caudal part",8.0,24.0,32.0,1.523841,1.422988,2.946829,5.249891556927527,16.86591875686935
Periaqueductal gray,7.0,22.0,29.0,1.9613,2.040342,4.001642,3.5690613368684034,10.782506070060805
"Prelimbic area, layer 6a",26.0,0.0,26.0,0.14219400000000001,0.175128,0.317322,182.848784055586,0.0
Medulla,20.0,4.0,24.0,2.100873,2.170798,4.271671,9.519851985341331,1.8426403562192337
Anterior amygdalar area,8.0,14.0,22.0,0.210639,0.238495,0.44913400000000003,37.97967138089338,58.701440281766914
"Anterior cingulate area, dorsal part, layer 6a",21.0,0.0,21.0,0.28368000000000004,0.336876,0.620556,74.0270727580372,0.0
Barrington's nucleus,1.0,20.0,21.0,0.006204,0.005982,0.012186,161.18633139909736,3343.3634236041457
"Entorhinal area, lateral part, layer 1",6.0,15.0,21.0,0.5184369999999999,0.589515,1.107952,11.57324805135436,25.44464517442304
"Anterior area, layer 5",18.0,0.0,18.0,0.168401,0.150074,0.31847499999999995,106.88772631991496,0.0
Sublaterodorsal nucleus,4.0,13.0,17.0,0.019972,0.019575,0.039547000000000006,200.2803925495694,664.1123882503193
rubrospinal tract,15.0,1.0,16.0,0.20946900000000002,0.219537,0.42900600000000005,71.60964152213454,4.555040835941094
Magnocellular nucleus,6.0,10.0,16.0,0.16248800000000002,0.166519,0.329007,36.925803751661654,60.053207141527395
"Supplemental somatosensory area, layer 5",11.0,4.0,15.0,0.737028,0.7128909999999999,1.449919,14.924806113200583,5.6109559525930335
"Orbital area, ventrolateral part, layer 6a",15.0,0.0,15.0,0.064954,0.080804,0.145758,230.9326600363334,0.0
Paraventricular hypothalamic nucleus,1.0,12.0,13.0,0.124982,0.13844399999999998,0.26342600000000005,8.001152165911892,86.67764583513913
"Perirhinal area, layer 1",0.0,12.0,12.0,0.123155,0.111694,0.23484899999999997,0.0,107.43638870485434
Dorsomedial nucleus of the hypothalamus,0.0,11.0,11.0,0.22759400000000002,0.21231399999999997,0.439908,0.0,51.81005491865822
"Retrosplenial area, dorsal part, layer 6a",0.0,10.0,10.0,0.280102,0.307444,0.5875459999999999,0.0,32.526248682686926
"Frontal pole, layer 6a",9.0,0.0,9.0,0.035701,0.040238,0.07593899999999999,252.0937788857455,0.0
Facial motor nucleus,0.0,9.0,9.0,0.403901,0.42708,0.830981,0.0,21.073335206518685
Nucleus of the solitary tract,0.0,8.0,8.0,0.748087,0.7205889999999999,1.468676,0.0,11.102029034581435
Midbrain,0.0,7.0,7.0,2.75989,2.776011,5.535901,0.0,2.5216038409069705
"Medullary reticular nucleus, dorsal part",0.0,7.0,7.0,0.6668270000000001,0.62664,1.293467,0.0,11.170688114387847
Nucleus raphe obscurus,5.0,2.0,7.0,0.014823,0.014979,0.029802,337.31363421709506,133.52026169971293
superior cerebelar peduncles,2.0,4.0,6.0,0.188527,0.195821,0.384348,10.608560047102007,20.42681836983776
"lateral olfactory tract, body",6.0,0.0,6.0,0.568083,0.529227,1.09731,10.561836914676201,0.0
Olfactory tubercle,6.0,0.0,6.0,1.879097,1.708557,3.587654,3.1930230318072987,0.0
lateral lemniscus,0.0,5.0,5.0,0.293336,0.323618,0.616954,0.0,15.4503148774172
Medial amygdalar nucleus,2.0,3.0,5.0,0.718067,0.71375,1.431817,2.7852554148846833,4.203152364273205
"Agranular insular area, posterior part, layer 1",0.0,5.0,5.0,0.21691300000000002,0.20965,0.426563,0.0,23.849272597185784
Subiculum,0.0,5.0,5.0,0.7768729999999999,0.716054,1.4929270000000001,0.0,6.9827135942261345
Tuberal nucleus,0.0,5.0,5.0,0.247787,0.220063,0.46785,0.0,22.720766326006643
Striatum,4.0,0.0,4.0,1.140572,1.166873,2.307445,3.507012271035937,0.0
Edinger-Westphal nucleus,0.0,4.0,4.0,0.010164,0.010345,0.020509,0.0,386.66022232962786
"Posterior auditory area, layer 5",0.0,4.0,4.0,0.049183,0.04643,0.095613,0.0,86.15119534783545
