structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
"Orbital area, ventrolateral part, layer 5",1.0,0.0,1.0,0.143671,0.26102800000000004,0.404699,6.96034690368968,0.0
"Orbital area, medial part, layer 6a",1.0,0.0,1.0,0.046502,0.096425,0.142927,21.504451421444237,0.0
Field CA1,1.0,0.0,1.0,4.731976,5.129716,9.861692,0.21132820622927925,0.0
internal capsule,1.0,0.0,1.0,0.776891,0.930872,1.7077630000000001,1.2871818569142903,0.0
Paraflocculus,0.0,1.0,1.0,1.24329,1.041432,2.284722,0.0,0.9602163175320136
"Tuberomammillary nucleus, ventral part",0.0,0.0,0.0,0.04614,0.041016000000000004,0.087156,0.0,0.0
"Primary somatosensory area, mouth, layer 6b",0.0,0.0,0.0,0.036945,0.043255,0.0802,0.0,0.0
Principal sensory nucleus of the trigeminal,0.0,0.0,0.0,0.370835,0.342966,0.7138009999999999,0.0,0.0
"Primary somatosensory area, trunk, layer 6a",0.0,0.0,0.0,0.140734,0.141594,0.282328,0.0,0.0
"Superior colliculus, motor related, intermediate gray layer",0.0,0.0,0.0,1.186412,1.2344309999999998,2.420843,0.0,0.0
Interfascicular nucleus raphe,0.0,0.0,0.0,0.042491,0.042005,0.084496,0.0,0.0
Parataenial nucleus,0.0,0.0,0.0,0.15631099999999998,0.153024,0.30933499999999997,0.0,0.0
"Superior colliculus, motor related, intermediate white layer",0.0,0.0,0.0,1.321508,1.338329,2.659837,0.0,0.0
Induseum griseum,0.0,0.0,0.0,0.064569,0.07679899999999999,0.141368,0.0,0.0
Anterior amygdalar area,0.0,0.0,0.0,0.178833,0.261569,0.440402,0.0,0.0
"Superior colliculus, motor related, deep gray layer",0.0,0.0,0.0,0.781269,0.8014009999999999,1.5826699999999998,0.0,0.0
Intergeniculate leaflet of the lateral geniculate complex,0.0,0.0,0.0,0.032442,0.019796,0.052237999999999986,0.0,0.0
"Entorhinal area, lateral part, layer 6a",0.0,0.0,0.0,0.41974300000000003,0.408466,0.828209,0.0,0.0
"Periventricular hypothalamic nucleus, anterior part",0.0,0.0,0.0,0.06661,0.067452,0.134062,0.0,0.0
"Primary visual area, layer 6a",0.0,0.0,0.0,0.5834239999999999,0.549285,1.132709,0.0,0.0
Oculomotor nucleus,0.0,0.0,0.0,0.013237,0.014165,0.027402,0.0,0.0
"Gustatory areas, layer 1",0.0,0.0,0.0,0.146972,0.14044299999999998,0.28741500000000003,0.0,0.0
"Superior colliculus, motor related, deep white layer",0.0,0.0,0.0,0.189815,0.203066,0.392881,0.0,0.0
Precommissural nucleus,0.0,0.0,0.0,0.08734700000000001,0.08852199999999999,0.175869,0.0,0.0
medial forebrain bundle,0.0,0.0,0.0,0.023375,0.017151,0.040526,0.0,0.0
Nucleus accumbens,0.0,0.0,0.0,0.8838879999999999,2.29579,3.179678,0.0,0.0
Medial terminal nucleus of the accessory optic tract,0.0,0.0,0.0,0.022136000000000003,0.020816,0.042952,0.0,0.0
Intermediodorsal nucleus of the thalamus,0.0,0.0,0.0,0.106045,0.103611,0.20965599999999998,0.0,0.0
Anterodorsal nucleus,0.0,0.0,0.0,0.07613400000000001,0.129593,0.205727,0.0,0.0
Lateral terminal nucleus of the accessory optic tract,0.0,0.0,0.0,0.015441,0.004373999999999999,0.019815,0.0,0.0
Interstitial nucleus of Cajal,0.0,0.0,0.0,0.041132,0.042473000000000004,0.08360499999999997,0.0,0.0
"Frontal pole, layer 1",0.0,0.0,0.0,0.059723000000000005,0.058181,0.117904,0.0,0.0
Anterodorsal preoptic nucleus,0.0,0.0,0.0,0.028913,0.038047000000000004,0.06695999999999999,0.0,0.0
"Lateral visual area, layer 6a",0.0,0.0,0.0,0.08839699999999999,0.09314,0.18153699999999998,0.0,0.0
Dorsal terminal nucleus of the accessory optic tract,0.0,0.0,0.0,0.004987999999999999,0.008025,0.013013,0.0,0.0
Inferior olivary complex,0.0,0.0,0.0,0.162757,0.178649,0.341406,0.0,0.0
"Prelimbic area, layer 6a",0.0,0.0,0.0,0.125307,0.286439,0.411746,0.0,0.0
Interposed nucleus,0.0,0.0,0.0,0.520029,0.575299,1.095328,0.0,0.0
motor root of the trigeminal nerve,0.0,0.0,0.0,0.019162000000000002,0.013645,0.032807,0.0,0.0
Dorsal cochlear nucleus,0.0,0.0,0.0,0.23045700000000002,0.242423,0.47288,0.0,0.0
subependymal zone,0.0,0.0,0.0,0.036996,0.06684,0.10383599999999998,0.0,0.0
Interpeduncular nucleus,0.0,0.0,0.0,0.004629,0.004704,0.009333,0.0,0.0
Ventral cochlear nucleus,0.0,0.0,0.0,0.40135,0.28468000000000004,0.6860299999999999,0.0,0.0
nigrostriatal tract,0.0,0.0,0.0,0.063468,0.052263,0.115731,0.0,0.0
Inferior salivatory nucleus,0.0,0.0,0.0,0.004628,0.004104,0.008732,0.0,0.0
choroid plexus,0.0,0.0,0.0,0.717858,0.818911,1.536769,0.0,0.0
"Primary somatosensory area, lower limb, layer 2/3",0.0,0.0,0.0,0.052878,0.469926,0.5228039999999999,0.0,0.0
Trochlear nucleus,0.0,0.0,0.0,0.003057,0.0036229999999999995,0.006679999999999999,0.0,0.0
"Lateral visual area, layer 6b",0.0,0.0,0.0,0.01616,0.017672999999999998,0.033832999999999995,0.0,0.0
Koelliker-Fuse subnucleus,0.0,0.0,0.0,0.081403,0.084147,0.16555,0.0,0.0
"Prelimbic area, layer 6b",0.0,0.0,0.0,0.005660999999999999,0.011841,0.017501999999999997,0.0,0.0
"Periventricular hypothalamic nucleus, preoptic part",0.0,0.0,0.0,0.23033,0.14178,0.37211,0.0,0.0
"Entorhinal area, lateral part, layer 5",0.0,0.0,0.0,0.6158129999999999,0.6246419999999999,1.240455,0.0,0.0
cerebral aqueduct,0.0,0.0,0.0,0.185732,0.194118,0.37985,0.0,0.0
"Nucleus ambiguus, ventral division",0.0,0.0,0.0,0.023606,0.021548,0.045154,0.0,0.0
fourth ventricle,0.0,0.0,0.0,0.281722,0.27768000000000004,0.5594020000000001,0.0,0.0
lateral recess,0.0,0.0,0.0,0.186158,0.18648800000000001,0.372646,0.0,0.0
Lateral dorsal nucleus of thalamus,0.0,0.0,0.0,0.6226649999999999,0.8248639999999999,1.4475289999999998,0.0,0.0
"Dorsal auditory area, layer 6a",0.0,0.0,0.0,0.08541,0.060736,0.146146,0.0,0.0
posterior commissure,0.0,0.0,0.0,0.023644,0.025274,0.048918,0.0,0.0
"Agranular insular area, posterior part, layer 2/3",0.0,0.0,0.0,0.5725239999999999,0.506965,1.079489,0.0,0.0
"central canal, spinal cord/medulla",0.0,0.0,0.0,0.000465,0.000456,0.000921,0.0,0.0
Nucleus prepositus,0.0,0.0,0.0,0.121593,0.124662,0.24625500000000003,0.0,0.0
"Prelimbic area, layer 1",0.0,0.0,0.0,0.14285399999999998,0.151857,0.29471099999999995,0.0,0.0
Ventral part of the lateral geniculate complex,0.0,0.0,0.0,0.277059,0.122689,0.399748,0.0,0.0
"Gustatory areas, layer 2/3",0.0,0.0,0.0,0.433155,0.314562,0.747717,0.0,0.0
Lateral habenula,0.0,0.0,0.0,0.18821,0.187306,0.375516,0.0,0.0
"Accessory olfactory bulb, glomerular layer",0.0,0.0,0.0,0.039521,0.04302,0.082541,0.0,0.0
Rhomboid nucleus,0.0,0.0,0.0,0.07879499999999999,0.06990299999999999,0.148698,0.0,0.0
"Accessory olfactory bulb, granular layer",0.0,0.0,0.0,0.041878,0.048155,0.090033,0.0,0.0
Rostral linear nucleus raphe,0.0,0.0,0.0,0.025889,0.025842,0.05173099999999999,0.0,0.0
pyramidal decussation,0.0,0.0,0.0,0.030052,0.030678,0.060729999999999985,0.0,0.0
"Primary somatosensory area, barrel field, layer 2/3",0.0,0.0,0.0,0.8367700000000001,0.755228,1.591998,0.0,0.0
"Accessory olfactory bulb, mitral layer",0.0,0.0,0.0,0.06840299999999999,0.068475,0.136878,0.0,0.0
Area postrema,0.0,0.0,0.0,0.054278999999999994,0.055497000000000005,0.109776,0.0,0.0
Lateral vestibular nucleus,0.0,0.0,0.0,0.16120199999999998,0.158077,0.319279,0.0,0.0
Lateral mammillary nucleus,0.0,0.0,0.0,0.033554,0.026389,0.059943,0.0,0.0
"Anterior cingulate area, dorsal part, layer 2/3",0.0,0.0,0.0,0.233961,0.292648,0.526609,0.0,0.0
Anterior pretectal nucleus,0.0,0.0,0.0,0.862981,0.920781,1.7837619999999998,0.0,0.0
Superior vestibular nucleus,0.0,0.0,0.0,0.194883,0.20422,0.39910300000000004,0.0,0.0
Lateral posterior nucleus of the thalamus,0.0,0.0,0.0,0.8693,0.744185,1.6134849999999998,0.0,0.0
Spinal vestibular nucleus,0.0,0.0,0.0,0.559376,0.594901,1.154277,0.0,0.0
Lateral preoptic area,0.0,0.0,0.0,0.167466,0.25409,0.42155600000000004,0.0,0.0
Nucleus raphe pallidus,0.0,0.0,0.0,0.032358,0.033141000000000004,0.065499,0.0,0.0
Anterior tegmental nucleus,0.0,0.0,0.0,0.021252,0.024183,0.045435,0.0,0.0
"Anterolateral visual area, layer 5",0.0,0.0,0.0,0.087545,0.07967300000000001,0.16721799999999998,0.0,0.0
solitary tract,0.0,0.0,0.0,0.012535,0.013268,0.025802999999999996,0.0,0.0
Nucleus raphe pontis,0.0,0.0,0.0,0.051001,0.052042,0.10304300000000001,0.0,0.0
"Dorsal auditory area, layer 6b",0.0,0.0,0.0,0.014907,0.0097,0.024607,0.0,0.0
"Midbrain reticular nucleus, retrorubral area",0.0,0.0,0.0,0.097674,0.08136,0.179034,0.0,0.0
"Posterior auditory area, layer 6a",0.0,0.0,0.0,0.026468000000000002,0.026761,0.053229,0.0,0.0
"Lateral septal nucleus, caudal (caudodorsal) part",0.0,0.0,0.0,0.196515,0.297241,0.49375600000000003,0.0,0.0
"Primary auditory area, layer 2/3",0.0,0.0,0.0,0.206319,0.285987,0.492306,0.0,0.0
Anteroventral nucleus of thalamus,0.0,0.0,0.0,0.15675799999999998,0.268258,0.425016,0.0,0.0
"posteromedial visual area, layer 6a",0.0,0.0,0.0,0.079488,0.105951,0.18543900000000002,0.0,0.0
"Nucleus of the lateral olfactory tract, molecular layer",0.0,0.0,0.0,0.042111,0.057186,0.099297,0.0,0.0
Reticular nucleus of the thalamus,0.0,0.0,0.0,0.61764,0.7169019999999999,1.3345420000000001,0.0,0.0
Anteroventral preoptic nucleus,0.0,0.0,0.0,0.028638,0.033860999999999995,0.062499,0.0,0.0
"Lateral septal nucleus, ventral part",0.0,0.0,0.0,0.139126,0.22506,0.364186,0.0,0.0
"Nucleus of the lateral olfactory tract, pyramidal layer",0.0,0.0,0.0,0.056314,0.075061,0.131375,0.0,0.0
"Posterolateral visual area, layer 2/3",0.0,0.0,0.0,0.066315,0.068772,0.13508699999999998,0.0,0.0
Nucleus sagulum,0.0,0.0,0.0,0.063124,0.051139,0.11426300000000002,0.0,0.0
"Retrosplenial area, dorsal part, layer 6a",0.0,0.0,0.0,0.20188,0.511462,0.7133419999999999,0.0,0.0
"Retrosplenial area, lateral agranular part, layer 6b",0.0,0.0,0.0,0.022573,0.027481000000000002,0.050054,0.0,0.0
Suprachiasmatic nucleus,0.0,0.0,0.0,0.04481,0.043076,0.08788599999999999,0.0,0.0
Bed nucleus of the anterior commissure,0.0,0.0,0.0,0.0025670000000000003,0.003375,0.005941999999999999,0.0,0.0
"Orbital area, ventrolateral part, layer 2/3",0.0,0.0,0.0,0.12626600000000002,0.193211,0.319477,0.0,0.0
Bed nucleus of the accessory olfactory tract,0.0,0.0,0.0,0.012214000000000001,0.014363,0.026577,0.0,0.0
"Anterior cingulate area, ventral part, layer 2/3",0.0,0.0,0.0,0.205938,0.29409,0.5000279999999999,0.0,0.0
Magnocellular nucleus,0.0,0.0,0.0,0.105304,0.210135,0.315439,0.0,0.0
stria terminalis,0.0,0.0,0.0,0.111972,0.146375,0.258347,0.0,0.0
"Basolateral amygdalar nucleus, anterior part",0.0,0.0,0.0,0.241455,0.336745,0.5781999999999999,0.0,0.0
"Prelimbic area, layer 2/3",0.0,0.0,0.0,0.109774,0.13563599999999998,0.24541,0.0,0.0
"Primary visual area, layer 6b",0.0,0.0,0.0,0.088042,0.08573299999999999,0.173775,0.0,0.0
Septofimbrial nucleus,0.0,0.0,0.0,0.20705900000000002,0.23003,0.437089,0.0,0.0
"Basolateral amygdalar nucleus, posterior part",0.0,0.0,0.0,0.28225700000000004,0.351745,0.6340020000000001,0.0,0.0
"Agranular insular area, posterior part, layer 6a",0.0,0.0,0.0,0.131908,0.15117,0.283078,0.0,0.0
Supragenual nucleus,0.0,0.0,0.0,0.010183,0.009851,0.020034,0.0,0.0
"Primary motor area, Layer 1",0.0,0.0,0.0,0.9111440000000001,0.794226,1.7053699999999998,0.0,0.0
