structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Gigantocellular reticular nucleus,1695.0,2256.0,3951.0,2.019394,2.016887,4.036281,839.3607191068211,1118.5554768313743
Red nucleus,334.0,509.0,843.0,0.514404,0.527504,1.0419079999999998,649.2951065699334,964.921593011617
Pons,258.0,267.0,525.0,1.766587,1.765535,3.532122,146.04432162129575,151.22894759945285
Piriform area,6.0,368.0,374.0,6.470084,6.322348000000001,12.792432000000002,0.9273449927388887,58.206223384097164
Pontine reticular nucleus,122.0,194.0,316.0,1.6977810000000002,1.6816799999999998,3.379461,71.85850236279,115.36082964654395
crossed tectospinal pathway,134.0,171.0,305.0,0.329941,0.33412800000000004,0.6640689999999999,406.13321775711415,511.7799166786381
Nucleus raphe magnus,161.0,117.0,278.0,0.08254,0.08224999999999999,0.16479000000000002,1950.5694208868426,1422.4924012158056
"Pontine reticular nucleus, caudal part",156.0,103.0,259.0,1.8323919999999998,1.706423,3.538815,85.13462184947326,60.3601803304339
"Primary somatosensory area, lower limb, layer 5",225.0,28.0,253.0,0.36912,0.3675,0.7366199999999999,609.5578673602081,76.19047619047619
Intermediate reticular nucleus,100.0,117.0,217.0,2.793377,2.440848,5.234225,35.79896304723638,47.93416058681245
Pontine central gray,112.0,79.0,191.0,0.290944,0.306329,0.5972729999999999,384.95380554333485,257.89265789396364
"Paragigantocellular reticular nucleus, lateral part",55.0,93.0,148.0,0.538511,0.575963,1.114474,102.13347545361191,161.4687054550379
Midbrain reticular nucleus,83.0,57.0,140.0,3.534851,3.735357,7.270208,23.48048050681627,15.259585629967898
"Primary motor area, Layer 5",99.0,28.0,127.0,1.614566,1.6692150000000001,3.283781,61.31678729763912,16.77435201576789
Medulla,57.0,67.0,124.0,2.640582,2.759968,5.400549999999999,21.586150325950868,24.275643775580004
Pedunculopontine nucleus,20.0,97.0,117.0,0.7007770000000001,0.7473350000000001,1.448112,28.539749449539578,129.79453658667128
Sublaterodorsal nucleus,62.0,50.0,112.0,0.025593,0.026605,0.052198,2422.5374125737503,1879.3459875963165
Dorsal motor nucleus of the vagus nerve,29.0,77.0,106.0,0.147856,0.12997,0.277826,196.13678173357863,592.4444102485189
Magnocellular reticular nucleus,32.0,71.0,103.0,0.382441,0.39045100000000005,0.7728919999999999,83.67303714821372,181.84099925470798
"Medullary reticular nucleus, dorsal part",9.0,53.0,62.0,0.992289,0.818361,1.81065,9.069938294186471,64.7635945505712
"Lateral reticular nucleus, magnocellular part",40.0,21.0,61.0,0.328575,0.325358,0.653933,121.73780719774784,64.54428660122082
Barrington's nucleus,27.0,29.0,56.0,0.007865,0.008353,0.016218,3432.9307056579783,3471.8065365736866
Hypoglossal nucleus,20.0,32.0,52.0,0.209064,0.196899,0.405963,95.6644855163969,162.51987059355304
Laterodorsal tegmental nucleus,20.0,28.0,48.0,0.100275,0.106553,0.206828,199.4515083520319,262.7800249641024
"Medullary reticular nucleus, ventral part",20.0,28.0,48.0,0.5184679999999999,0.5097349999999999,1.028203,38.57518689678052,54.93050310455433
"Primary motor area, Layer 6a",38.0,10.0,48.0,1.53421,1.5766200000000001,3.11083,24.768447604956297,6.342682447260595
Lateral hypothalamic area,15.0,30.0,45.0,1.090945,1.0548,2.1457450000000002,13.749547410731063,28.441410693970422
"Primary somatosensory area, trunk, layer 5",38.0,4.0,42.0,0.176759,0.183136,0.359895,214.98198111553017,21.84169142058361
Nucleus of the solitary tract,26.0,7.0,33.0,0.774937,0.7033459999999999,1.4782829999999998,33.55111447769303,9.95242739704214
